username,thumbnail,nfollowers,subfolder
Janowicz,https://static-cdn.jtvnw.net/jtv_user_pictures/janowicz-profile_image-03f9f4a9cc6e3211-300x300.png,"51,924 followers",/channel/janowicz
SoloRenektonOnly,https://static-cdn.jtvnw.net/jtv_user_pictures/solorenektononly-profile_image-96305130a379dcaa-300x300.jpeg,"51,832 followers",/channel/solorenektononly
미라지오빠,https://static-cdn.jtvnw.net/jtv_user_pictures/mirage720-profile_image-526c879ea5eb4e83-300x300.jpeg,"51,826 followers",/channel/mirage720
cnotbusch,https://static-cdn.jtvnw.net/jtv_user_pictures/cnotbusch-profile_image-cfdf2d46cf84efde-300x300.png,"51,770 followers",/channel/cnotbusch
GruntarTV,https://static-cdn.jtvnw.net/jtv_user_pictures/gruntartv-profile_image-4274e1a36baa60aa-300x300.jpeg,"51,761 followers",/channel/gruntartv
Livibee,https://static-cdn.jtvnw.net/jtv_user_pictures/livibee-profile_image-7161e07fc9f6d668-300x300.png,"51,629 followers",/channel/livibee
Freezecz,https://static-cdn.jtvnw.net/jtv_user_pictures/freezecz-profile_image-13104972876ffb54-300x300.jpeg,"51,579 followers",/channel/freezecz
UmiNoKaiju,https://static-cdn.jtvnw.net/jtv_user_pictures/uminokaiju-profile_image-0f85d8148b008120-300x300.jpeg,"51,471 followers",/channel/uminokaiju
HuttsGaming,https://static-cdn.jtvnw.net/jtv_user_pictures/huttsgaming-profile_image-6d7e32d934d4d4a9-300x300.png,"51,445 followers",/channel/huttsgaming
Thebaby123,https://static-cdn.jtvnw.net/jtv_user_pictures/thebaby123-profile_image-5958c9033196c053-300x300.jpeg,"51,444 followers",/channel/thebaby123
DangerDolan,https://static-cdn.jtvnw.net/jtv_user_pictures/dangerdolan-profile_image-04756911eec1f770-300x300.png,"51,405 followers",/channel/dangerdolan
LadyAvi,https://static-cdn.jtvnw.net/jtv_user_pictures/ladyavi-profile_image-caea48fc078334bc-300x300.jpeg,"51,297 followers",/channel/ladyavi
SkyshockTV,https://static-cdn.jtvnw.net/jtv_user_pictures/skyshocktv-profile_image-b4c8b8773785d76b-300x300.png,"51,283 followers",/channel/skyshocktv
Just_Relax_Kid,https://static-cdn.jtvnw.net/jtv_user_pictures/just_relax_kid-profile_image-bd3c1413cf14405b-300x300.png,"51,241 followers",/channel/just_relax_kid
Cereth,https://static-cdn.jtvnw.net/jtv_user_pictures/cereth-profile_image-7a7956cd05f42991-300x300.png,"51,234 followers",/channel/cereth
BeatPug,https://static-cdn.jtvnw.net/jtv_user_pictures/beatpug-profile_image-359317468129ea62-300x300.png,"51,217 followers",/channel/beatpug
Bananasaurus_Rex,https://static-cdn.jtvnw.net/jtv_user_pictures/bananasaurus_rex-profile_image-dec912af2c70459c-300x300.png,"51,216 followers",/channel/bananasaurus_rex
ThatOneVideoGamer,https://static-cdn.jtvnw.net/jtv_user_pictures/thatonevideogamer-profile_image-fe795f2818595495-300x300.png,"51,205 followers",/channel/thatonevideogamer
GopherGaming,https://static-cdn.jtvnw.net/jtv_user_pictures/gophergaming-profile_image-0f8abd212d94e1ec-300x300.png,"51,146 followers",/channel/gophergaming
ElkY,https://static-cdn.jtvnw.net/jtv_user_pictures/elky-profile_image-e5f41872d79cfd21-300x300.jpeg,"51,120 followers",/channel/elky
1FOW1,https://static-cdn.jtvnw.net/jtv_user_pictures/1fow1-profile_image-34b90dd8cf8fb647-300x300.png,"51,052 followers",/channel/1fow1
BeastQT,https://static-cdn.jtvnw.net/jtv_user_pictures/beastqt-profile_image-aeeabe26b9c146cd-300x300.png,"51,050 followers",/channel/beastqt
leagueoflegends,https://static-cdn.jtvnw.net/jtv_user_pictures/leagueoflegends-profile_image-15de05840895a3a6-300x300.png,"50,982 followers",/channel/leagueoflegends
Denchikflomasteroff,https://static-cdn.jtvnw.net/jtv_user_pictures/denchikflomasteroff-profile_image-be3914b0bd64cf86-300x300.jpeg,"50,958 followers",/channel/denchikflomasteroff
Playbetterpro,https://static-cdn.jtvnw.net/jtv_user_pictures/playbetterpro-profile_image-dd11fc129a72fbd2-300x300.jpeg,"50,923 followers",/channel/playbetterpro
GamerHuset,https://static-cdn.jtvnw.net/jtv_user_pictures/gamerhuset-profile_image-f1b19534f4af33c9-300x300.png,"50,850 followers",/channel/gamerhuset
goodgirlmiwa,https://static-cdn.jtvnw.net/jtv_user_pictures/goodgirlmiwa-profile_image-d53b75bb64a1dbc1-300x300.jpeg,"50,835 followers",/channel/goodgirlmiwa
Lolirot,https://static-cdn.jtvnw.net/jtv_user_pictures/lolirot-profile_image-5a321f9740a5f5d8-300x300.jpeg,"50,817 followers",/channel/lolirot
우왁굳,https://static-cdn.jtvnw.net/jtv_user_pictures/woowakgood-profile_image-ad51c0194aecd1b4-300x300.jpeg,"50,765 followers",/channel/woowakgood
Nono_LoL,https://static-cdn.jtvnw.net/jtv_user_pictures/nono_lol-profile_image-47ed6baee5f01e0f-300x300.jpeg,"50,621 followers",/channel/nono_lol
Teddy_RecKs,https://static-cdn.jtvnw.net/jtv_user_pictures/teddy_recks-profile_image-f889a83c74550c3d-300x300.jpeg,"52,732 followers",/channel/teddy_recks
周荀,https://static-cdn.jtvnw.net/jtv_user_pictures/denkakeke0404-profile_image-4d916242913a0879-300x300.jpeg,"52,694 followers",/channel/denkakeke0404
